episode,return,G_val,total_rate,loss_actor,loss_critic,loss,entropy,advantage_mean,advantage_std,grad_norm,sec
1,12106.88671875,12235.1806640625,20176.07474899292,-0.029942570254206657,84615112.0,42307556.0,13.487983703613281,2.6822089438383045e-08,1.0,9365.0615234375,6.311588287353516
2,10529.470703125,,16776.101371765137,0.09461138397455215,50662800.0,25331400.0,13.490861892700195,1.1324882365215672e-08,1.0,7269.12548828125,8.716797351837158
3,11790.08984375,,20061.699420928955,-0.06031949073076248,82198792.0,41099396.0,13.489977836608887,2.7418137094059603e-08,1.0,9560.9658203125,11.079144954681396
4,12425.66796875,,20236.183877944946,-0.013322582468390465,78290584.0,39145292.0,13.492439270019531,-7.390976008991856e-08,0.9999999403953552,9041.2783203125,13.735843181610107
5,13133.5615234375,,21849.1886138916,-0.021364726126194,93577136.0,46788568.0,13.489790916442871,5.185604123880694e-08,0.9999999403953552,10092.619140625,17.24703311920166
6,10901.515625,,17675.96506881714,0.009441614151000977,58740072.0,29370036.0,13.493268966674805,1.335144048653092e-07,0.9999999403953552,7827.31005859375,20.030598163604736
7,11658.03125,,19161.388011932373,-0.019451694563031197,70451520.0,35225760.0,13.4954252243042,-6.556510889765832e-09,1.0,8646.0966796875,22.87668204307556
8,11121.201171875,,17606.789567947388,0.007392663974314928,54779568.0,27389784.0,13.490416526794434,7.152557657263969e-08,0.9999999403953552,7517.55078125,25.698370218276978
9,14135.7802734375,,23181.46190547943,-0.012405633926391602,103240992.0,51620496.0,13.486973762512207,-1.1324882365215672e-08,0.9999999403953552,10475.0986328125,28.862504959106445
10,12932.7353515625,,20879.250358581543,-0.004754247609525919,80959904.0,40479952.0,13.487606048583984,-5.9604645663569045e-09,0.9999999403953552,9234.5859375,31.4975643157959
11,11155.078125,,18249.947673797607,-0.007099723909050226,66910352.0,33455176.0,13.488633155822754,1.0132789718397817e-08,0.9999999403953552,8186.78564453125,34.588688135147095
12,11609.7353515625,,19224.56545305252,-0.07698753476142883,73820952.0,36910476.0,13.490488052368164,1.341104507446289e-07,0.9999999403953552,8759.1328125,37.17149329185486
13,12296.26171875,,20406.409364700317,-0.004001894034445286,83005496.0,41502748.0,13.495041847229004,-4.708767065153552e-08,1.0,9326.4736328125,39.8153281211853
14,12580.0908203125,,20440.790412902832,-0.06244690716266632,79426464.0,39713232.0,13.486847877502441,-1.0728836485895954e-08,0.9999999403953552,9100.3857421875,42.35143232345581
15,11802.3056640625,,19019.1223487854,-0.07993759959936142,68733592.0,34366796.0,13.479204177856445,1.1086464013487785e-07,0.9999999403953552,8466.85546875,44.747098207473755
16,12582.9765625,,20488.092546463013,-0.006068143993616104,78418296.0,39209148.0,13.481759071350098,3.5762786065873797e-09,1.0,9230.576171875,47.25800323486328
17,11607.373046875,,19577.757921218872,0.0032260322477668524,79383920.0,39691960.0,13.47729778289795,-7.688998948651715e-08,1.0,9369.798828125,49.534993171691895
18,13542.212890625,,21881.420486450195,-0.015759287402033806,87235184.0,43617592.0,13.48681640625,-1.436471990245991e-07,1.0,9695.2919921875,51.82925319671631
19,10042.3095703125,,17433.908668518066,0.07394176721572876,67042672.0,33521336.0,13.4849271774292,-8.225440950582197e-08,0.9999999403953552,8601.1904296875,53.96280598640442
20,14314.537109375,13521.8154296875,23717.704794883728,0.032387275248765945,113386200.0,56693100.0,13.480297088623047,1.0490417423625331e-07,0.9999999403953552,11019.2822265625,58.23766231536865
21,12226.375,,20398.538566589355,-0.007866249419748783,81805056.0,40902528.0,13.479839324951172,1.76429750808893e-07,0.9999999403953552,9587.9716796875,60.424360275268555
22,11867.1630859375,,19513.35738182068,-0.0012653064914047718,73576552.0,36788276.0,13.48071575164795,2.0980834847250662e-07,1.0,9004.8134765625,62.622724294662476
23,11413.2197265625,,18497.466033935547,-0.04384845867753029,65708820.0,32854410.0,13.477904319763184,-1.3172626722735004e-07,0.9999999403953552,8369.828125,64.86122012138367
24,11732.1806640625,,19705.993423461914,-0.008388166315853596,82871200.0,41435600.0,13.484575271606445,3.695488004495928e-08,1.0,9327.865234375,67.01816129684448
25,12266.9560546875,,20401.938720703125,-0.032732896506786346,83064112.0,41532056.0,13.479826927185059,9.298324243900424e-08,0.9999999403953552,9611.8115234375,69.29722023010254
26,11969.88671875,,20377.422760009766,-0.05761875957250595,85369800.0,42684900.0,13.463508605957031,3.1590460025654465e-08,0.9999998807907104,10263.9931640625,71.53460621833801
27,14254.4130859375,,22926.950313568115,-0.04300471395254135,96466168.0,48233084.0,13.48082160949707,-5.125999535948722e-08,0.9999999403953552,10304.2607421875,73.66354417800903
28,11124.056640625,,18255.138773918152,-0.06072766333818436,64142828.0,32071414.0,13.48269271850586,7.390976008991856e-08,0.9999999403953552,8349.0126953125,75.9383602142334
29,12574.1708984375,,21417.336223602295,0.0185705479234457,95096016.0,47548008.0,13.456533432006836,2.324581060975106e-08,0.9999999403953552,10864.478515625,78.25049328804016
30,10428.640625,,16842.81273651123,-0.03047724813222885,53876724.0,26938362.0,13.45962142944336,1.9729137079593784e-07,1.0,8008.07568359375,80.3897590637207
31,11999.197265625,,19923.01124572754,-0.01575573906302452,77696312.0,38848156.0,13.473820686340332,-9.059905892172537e-08,0.9999999403953552,9366.189453125,82.56479120254517
32,12843.3603515625,,21059.21918487549,-0.0016611384926363826,85941976.0,42970988.0,13.471765518188477,-4.947185416881439e-08,0.9999999403953552,9747.9853515625,84.72867918014526
33,11180.822265625,,18059.70836830139,0.029745159670710564,62273148.0,31136574.0,13.470239639282227,-3.33786012163273e-08,0.9999999403953552,8202.154296875,86.895916223526
34,11234.7939453125,,18902.785387039185,-0.10560783743858337,73011752.0,36505876.0,13.472587585449219,-1.0907650249691869e-07,0.9999999403953552,9051.5068359375,89.18693399429321
35,14418.2900390625,,22849.284121513367,0.0006428718334063888,94830216.0,47415108.0,13.484636306762695,2.2053718851111626e-08,1.0,9814.9365234375,91.4721782207489
36,12027.328125,,19655.58575439453,-0.07953821867704391,75187704.0,37593852.0,13.461645126342773,-7.271766833127913e-08,1.0,9376.7763671875,93.61636304855347
37,13367.6875,,21370.665607452393,-0.08329589664936066,83071488.0,41535744.0,13.45657730102539,-9.894370833762878e-08,1.0,10087.44921875,95.7827091217041
38,11936.8876953125,,19200.209594726562,-0.10102158784866333,67442760.0,33721380.0,13.4563570022583,-1.436471990245991e-07,0.9999999403953552,9291.931640625,97.94552516937256
39,12215.1435546875,,20247.903366088867,-0.017627783119678497,79638448.0,39819224.0,13.482015609741211,-6.556511067401516e-08,0.9999999403953552,9411.6474609375,100.20012331008911
40,9840.0302734375,12801.0400390625,17229.19236755371,-0.04829143360257149,65079756.0,32539878.0,13.492692947387695,4.231929651155042e-08,1.0,8563.4296875,104.57197213172913
41,12339.3505859375,,20449.36483860016,-0.036490049213171005,85869984.0,42934992.0,13.492380142211914,9.95397542169485e-08,0.9999999403953552,9371.6611328125,106.76088118553162
42,14779.7119140625,,24381.570755004883,-0.007818260230123997,115304400.0,57652200.0,13.463750839233398,2.2351741790771484e-07,1.0,11910.138671875,109.13991618156433
43,13437.458984375,,22116.843236923218,-0.04027429595589638,98567496.0,49283748.0,13.477203369140625,-3.099441414633475e-08,1.0,10304.392578125,111.41881012916565
44,11879.8037109375,,20031.84344100952,-0.01263476349413395,81293376.0,40646688.0,13.491389274597168,-5.602836594675864e-08,0.9999999403953552,9453.2138671875,113.68219709396362
45,11733.6318359375,,18969.74098968506,-0.0466478168964386,65904112.0,32952056.0,13.450705528259277,-3.099441414633475e-08,1.0000001192092896,9514.5185546875,116.01216316223145
46,11257.8798828125,,18748.131427764893,-0.004394426476210356,71297288.0,35648644.0,13.490713119506836,-1.0907650249691869e-07,0.9999999403953552,8737.341796875,118.2502281665802
47,10927.9853515625,,18572.398082733154,-0.008728389628231525,69435096.0,34717548.0,13.476917266845703,3.278255533700758e-08,0.9999999403953552,9094.845703125,120.69100427627563
48,12255.53515625,,19762.974029541016,-0.038597382605075836,74124128.0,37062064.0,13.462060928344727,1.3709068547029801e-08,1.0,9633.2578125,122.97430300712585
49,13302.9990234375,,21343.214797973633,-0.046696119010448456,85072688.0,42536344.0,13.458391189575195,-4.410743770222325e-08,1.0,10564.1865234375,125.34896731376648
50,12013.9814453125,,19866.51086807251,-0.056574657559394836,78734808.0,39367404.0,13.445270538330078,1.5497207073167374e-08,0.9999999403953552,11034.0966796875,127.54552817344666
51,11169.1123046875,,18262.5008392334,-0.0053019714541733265,62129476.0,31064738.0,13.457980155944824,3.8743017682918435e-08,1.0,9272.203125,129.69980716705322
52,14268.62890625,,23010.129985809326,-0.09203039854764938,102646720.0,51323360.0,13.457413673400879,9.298324243900424e-08,1.0,11739.1962890625,132.19196128845215
53,11432.98828125,,18864.824535369873,-0.04207279160618782,68842208.0,34421104.0,13.429167747497559,1.9669533557475916e-08,1.0,11568.818359375,134.81008219718933
