episode,return,baseline,total_rate,loss,entropy,grad_norm,sec
1,30450.43359375,30450.43359375,31994.965965270996,-0.20899483561515808,13.468778610229492,5.370560646057129,1.69691801071167
2,25240.734375,30189.9486328125,26564.17521095276,-0.22018754482269287,13.490989685058594,2.5915324687957764,1.2215161323547363
3,23265.52734375,29843.727568359373,24488.774850845337,-0.21116074919700623,13.477421760559082,2.69400954246521,1.243248701095581
4,27780.77734375,29740.580057128904,29291.13935470581,-0.2343149483203888,13.391650199890137,6.3977179527282715,1.0792460441589355
5,22689.55078125,29388.02859333496,23924.351006507874,-0.40324437618255615,13.386255264282227,3.520174026489258,0.9895651340484619
6,28016.365234375,29319.44542538696,29555.799808502197,-0.5623643398284912,13.381887435913086,4.499906539916992,0.9486470222473145
7,23741.970703125,29040.571689273856,24872.521533966064,-0.7594157457351685,13.202153205871582,5.12294864654541,1.018254041671753
8,25223.087890625,28849.697499341415,26552.4362449646,-0.3327518403530121,13.371397018432617,4.511983394622803,0.9598441123962402
9,25969.505859375,28705.687917343093,27333.055168151855,-0.22435790300369263,13.352739334106445,3.843916416168213,0.9555468559265137
10,24974.060546875,28519.106548819687,26320.176595687866,-0.6855058073997498,13.193644523620605,3.0086309909820557,0.9487659931182861
11,20839.22265625,28135.112354191202,21904.75917816162,-0.06680785864591599,13.454010009765625,3.5400547981262207,0.9906690120697021
12,23678.208984375,27912.26718570039,24817.346977233887,-0.18488262593746185,13.514422416687012,1.2291768789291382,0.9387860298156738
13,25810.515625,27807.17960766537,27160.215896606445,-0.3606258034706116,13.394201278686523,1.565619707107544,0.9987421035766602
14,25338.720703125,27683.75666243835,26705.908153533936,-0.49763429164886475,13.321020126342773,2.9229018688201904,1.0167582035064697
15,25586.0234375,27578.87000119143,26958.324352264404,-0.2795322835445404,13.514312744140625,1.4761430025100708,0.9698598384857178
16,24696.634765625,27434.758239413106,25977.676719665527,-0.6754133105278015,13.2725830078125,2.781008005142212,0.9329121112823486
17,25081.638671875,27317.102261036198,26369.04543685913,-0.5849407315254211,13.270761489868164,2.7986912727355957,0.9807250499725342
18,22736.291015625,27088.06169876564,23934.35876083374,-0.6593736410140991,13.243148803710938,2.3804290294647217,0.965785026550293
19,25008.513671875,26984.084297421105,26278.927318572998,-0.3404839038848877,13.395360946655273,2.296858787536621,0.959597110748291
20,27976.82421875,27033.721293487546,29345.83226776123,-0.5194123983383179,13.093193054199219,3.508527994155884,1.0956690311431885
21,26688.373046875,27016.45388115692,27938.141021728516,-1.0239986181259155,12.995794296264648,3.9389472007751465,1.0487680435180664
22,30363.861328125,27183.82425350532,32051.660247802734,-0.7456138730049133,13.124201774597168,1.3165183067321777,1.0264079570770264
23,29001.896484375,27274.727865048804,30414.84498977661,-0.3147120475769043,13.154858589172363,2.7921810150146484,0.9997580051422119
24,25221.794921875,27172.08121789011,26581.43461227417,-0.05145401507616043,13.512643814086914,0.9221116304397583,0.9030568599700928
25,27553.62890625,27191.158602308104,28963.496488571167,-0.7321621179580688,13.089350700378418,1.1553122997283936,0.9816110134124756
