episode,G,baseline,total_rate_ep,loss,entropy,grad_norm,duration_sec
1,25.375267028808594,25.375267028808594,37.5602912902832,-0.016940422356128693,13.523115158081055,0.12220769375562668,2.5320968627929688
2,0.0,24.106503677368163,0.0,-0.0,13.522534370422363,0.0022881270851939917,1.7635691165924072
3,29.804777145385742,24.39141735076904,65.44600486755371,0.01627705618739128,13.522165298461914,0.3315999507904053,1.6467959880828857
4,73.44721984863281,26.844207475662227,121.58750534057617,-0.03615286946296692,13.5220365524292,0.36792153120040894,1.6524207592010498
5,70.12041473388672,29.00801783857345,117.93347072601318,-0.0011488724267110229,13.521808624267578,0.20711110532283783,1.8132600784301758
6,11.228425025939941,28.119038197941777,12.291420936584473,0.000790500664152205,13.521620750427246,0.25335127115249634,1.6628499031066895
7,71.08319091796875,30.26724583394312,105.31474685668945,0.021350964903831482,13.521489143371582,0.28784582018852234,1.7585327625274658
8,39.05782699584961,30.706774892038446,80.0603199005127,0.008240299299359322,13.521437644958496,0.2019193023443222,1.521895170211792
9,5.784153938293457,29.460643844351196,7.978359699249268,-0.02437393181025982,13.5214262008667,0.3319706618785858,1.6530470848083496
10,60.82596969604492,31.02891013693588,103.31397914886475,0.02318510040640831,13.521326065063477,0.28654345870018005,1.5921308994293213
11,41.54752731323242,31.554840995750705,67.44090843200684,0.021784648299217224,13.521318435668945,0.42967259883880615,1.672530174255371
12,41.35877227783203,32.04503755985477,68.43273448944092,0.005804119165986776,13.521354675292969,0.22046233713626862,1.5746986865997314
13,31.852256774902344,32.035398520607146,52.16473436355591,-0.005075712222605944,13.521397590637207,0.4877650737762451,1.5535333156585693
14,92.42623901367188,35.05494054526038,144.5067195892334,0.021815385669469833,13.521437644958496,0.32533037662506104,1.5261340141296387
15,55.84942626953125,36.09466483147392,71.12438917160034,-0.01591351442039013,13.521501541137695,0.2190866470336914,1.730391025543213
16,51.56453323364258,36.86815825158235,86.04676294326782,-0.03488064929842949,13.521524429321289,0.324452668428421,1.6909518241882324
17,28.937528610229492,36.47162676951471,46.8419132232666,0.017972536385059357,13.521463394165039,0.3148592412471771,1.5805549621582031
18,0.0,34.64804543103897,0.0,13.42310905456543,13.521432876586914,0.4248608648777008,1.654813289642334
19,0.0,32.915643159487026,0.0,-13.389004707336426,13.521415710449219,0.2889035940170288,1.5570509433746338
20,51.846702575683594,33.86219613029685,88.05229711532593,-0.006768179126083851,13.521454811096191,0.15621651709079742,1.831068992614746
21,62.62398147583008,35.30028539757351,102.9819803237915,-0.010834007523953915,13.52148151397705,0.16332797706127167,1.9431571960449219
22,27.64990234375,34.91776624488234,48.83470439910889,-0.009361219592392445,13.521489143371582,0.2704150080680847,1.5000598430633545
23,17.843097686767578,34.0640328169766,35.214683532714844,-0.03626300022006035,13.521471977233887,0.40655517578125,1.7544629573822021
24,8.474308967590332,32.784546624507286,12.291420936584473,-0.003084859810769558,13.521388053894043,0.14206953346729279,2.3046529293060303
25,26.688486099243164,32.47974359824408,47.20062780380249,-0.01197460200637579,13.521296501159668,0.16970816254615784,1.987926959991455
26,5.645724296569824,31.138042633160364,11.295129776000977,-0.012078561820089817,13.521193504333496,0.3143002986907959,1.929840326309204
27,6.006690979003906,29.88147505045254,13.287856101989746,-0.011393290013074875,13.521069526672363,0.08409305661916733,2.163907051086426
28,35.1607780456543,30.145440200212626,70.75814914703369,0.00021868705516681075,13.520939826965332,0.1752876341342926,1.8235750198364258
29,53.2562255859375,31.30097946949887,93.68970060348511,0.0010445595253258944,13.520820617675781,0.46356457471847534,1.764488935470581
30,23.133913040161133,30.892626148031983,30.561861991882324,-0.008016901090741158,13.520700454711914,0.29795408248901367,1.662532091140747
31,5.3797197341918945,29.616980827339976,7.647647380828857,-0.001233329763635993,13.5205717086792,0.14728616178035736,1.6121749877929688
32,9.901203155517578,28.631191943748853,20.93138313293457,-0.027693690732121468,13.520459175109863,0.3987360894680023,1.9789109230041504
33,21.249393463134766,28.262102019718146,31.55837059020996,0.011916961520910263,13.520315170288086,0.30774012207984924,1.7261309623718262
34,9.338424682617188,27.315918152863095,15.280904769897461,-0.006088771857321262,13.520212173461914,0.232454314827919,1.8558459281921387
