episode,return,total_rate,mean_rate_step,loss,value_loss,entropy,grad_norm,lr,sec
1,13210.97727050407,21622.115419387817,216.22115419387816,-0.0005165789666534693,5502681.25,13.518785953521729,1809.9368896484375,0.00029999925978027874,2.2301268577575684
2,11328.869139845376,18969.97406578064,189.6997406578064,-0.0017790490674087778,4384779.25,13.519595384597778,1670.4117431640625,0.00029999703912842054,1.723024845123291
3,10289.85914523323,17068.006757736206,170.68006757736205,-0.0013019017442275072,3259275.0,13.518034815788269,1580.4052734375,0.00029999333806634247,1.608811855316162
4,11739.045442918976,19802.331085205078,198.02331085205077,-0.0010314254532204359,4797733.5,13.511021852493286,1816.7657470703125,0.00029998815663057245,1.6516151428222656
5,10552.016748707665,17766.31757259369,177.6631757259369,-0.0005266541593300644,3590476.0,13.506181955337524,1900.0504150390625,0.00029998149487224914,1.6724748611450195
6,12532.363463703574,21297.617603302002,212.97617603302,-0.0014929408835087088,5262949.75,13.50546395778656,2177.426513671875,0.00029997335285712143,1.6787149906158447
7,10643.811130223577,17244.424461364746,172.44424461364747,-0.0006185236743476707,3382211.5625,13.482827186584473,3102.83740234375,0.0002999637306655477,1.6528098583221436
8,10634.895027292816,17190.031337738037,171.90031337738037,-0.0007051666616462171,3479345.21875,13.50752079486847,1725.9228515625,0.000299952628392495,1.7156317234039307
9,11764.34278790765,19538.086727142334,195.38086727142334,-0.001297731367230881,4642496.25,13.504866003990173,2028.288330078125,0.0002999400461475385,1.730478048324585
10,11211.895630111634,18966.395923614502,189.66395923614502,-0.0018869902196456678,4257584.28125,13.487617254257202,2148.330078125,0.0002999259840548598,1.5641601085662842
11,10069.483204295113,16852.8957862854,168.528957862854,0.0002521894784877077,3492715.25,13.501997947692871,2270.13720703125,0.000299910442253246,1.5671789646148682
12,10926.222436586486,17817.876888275146,178.17876888275146,-0.0001481767792483879,3681419.84375,13.520965218544006,2497.56884765625,0.00029989342089608846,1.5724999904632568
13,11199.114460118739,18281.803302764893,182.81803302764894,-2.3925177856654045e-06,3905958.96875,13.506914973258972,2823.441162109375,0.0002998749201513811,1.644247055053711
14,11671.57772484084,19278.359935760498,192.78359935760497,-0.0007656629568373319,4397192.96875,13.49333107471466,3246.52392578125,0.00029985494020171884,1.491913080215454
15,12365.44797714198,20081.988842010498,200.81988842010497,-2.8032835217572938e-05,4481910.75,13.520507574081421,3347.39208984375,0.00029983348124429566,1.562859058380127
16,11699.278874877238,19485.220527648926,194.85220527648926,0.00016973492256511236,4392778.0625,13.491418242454529,3831.278564453125,0.0002998105434909028,1.6513197422027588
17,11577.989767903411,19052.590074539185,190.52590074539185,-0.0006933017402843689,4218587.59375,13.479938864707947,3967.926513671875,0.0002997861271679266,1.594851016998291
18,10334.885429532265,17107.7254447937,171.077254447937,-0.0009337801934634626,3375664.96875,13.48057210445404,9146.361328125,0.0002997602325163464,1.5947620868682861
19,12207.654032518567,20206.5120306015,202.06512030601502,-0.0010270471682360949,4887219.0,13.506032109260559,4819.93212890625,0.0002997328597917319,1.6381819248199463
20,12320.472953849961,20233.639617919922,202.33639617919923,-0.0014370413609867683,4568335.5,13.446905136108398,5446.50830078125,0.0002997040092642408,1.7414109706878662
21,12563.87985332755,20056.86420440674,200.5686420440674,0.0001730834551949556,4637492.9375,13.464577198028564,6046.81201171875,0.0002996736812186163,1.546701192855835
22,12136.793866082407,20401.89430809021,204.0189430809021,-0.00025432135043956805,5205112.375,13.46532952785492,5649.4296875,0.0002996418759541838,1.5754270553588867
23,12631.03658275712,20061.067087173462,200.6106708717346,-0.0006054457724076201,4622072.21875,13.463916063308716,23305.76171875,0.0002996085937848486,1.600304126739502
24,11503.701639483868,19338.7336101532,193.387336101532,-4.5876641479480895e-05,4563873.4375,13.520791888237,6674.33544921875,0.0002995738350390921,1.5063071250915527
25,12110.318959615313,20299.332538604736,202.99332538604736,-0.0001528827597212512,4696839.4375,13.473033547401428,24891.326171875,0.0002995376000599692,1.6373729705810547
26,11886.888225811888,19306.26810836792,193.0626810836792,-0.00017673693241704314,4510640.34375,13.49310564994812,16990.828125,0.00029949988920510446,1.5648109912872314
27,10013.478735171815,16070.220314025879,160.7022031402588,-0.0019790409396591713,2999641.1875,13.437384247779846,27756.158203125,0.0002994607028466888,1.6103601455688477
