episode,return,baseline,total_rate,loss,entropy,grad_norm,sec
1,4.774033546447754,4.774033546447754,4.774033546447754,-0.10695193707942963,10.695194244384766,0.07448426634073257,0.7922890186309814
2,10.230892181396484,5.04687647819519,10.230892181396484,58.24934005737305,10.530414581298828,164.328857421875,0.15573620796203613
3,13.952187538146973,5.492142031192779,13.952187538146973,94.00505065917969,10.938190460205078,122.43157958984375,0.227402925491333
4,8.115087509155273,5.623289305090903,8.115087509155273,26.909494400024414,10.89232349395752,71.06446075439453,0.06831979751586914
5,8.152348518371582,5.749742265754937,8.152348518371582,25.006160736083984,10.693593978881836,68.00274658203125,0.15248727798461914
6,12.134064674377441,6.068958386186062,12.134064674377441,58.8443603515625,10.655647277832031,151.9193572998047,0.1495380401611328
7,3.6176939010620117,5.946395161929859,3.6176939010620117,-26.359619140625,10.826665878295898,31.71236228942871,0.050180912017822266
8,11.13479232788086,6.2058150202274085,11.13479232788086,68.17567443847656,9.74618148803711,271.40423583984375,0.024341106414794922
9,13.121925354003906,6.551620536916233,13.121925354003906,65.26670837402344,10.392332077026367,109.12271118164062,0.05800604820251465
10,8.26585578918457,6.63733229952965,8.26585578918457,17.334997177124023,10.690783500671387,29.504213333129883,0.14568495750427246
11,11.62771224975586,6.88685129704096,11.62771224975586,47.297943115234375,10.314249038696289,151.87478637695312,0.03341317176818848
12,19.267183303833008,7.505867897380562,19.267183303833008,123.00247955322266,10.815642356872559,124.59961700439453,0.08316493034362793
13,0.0,7.130574502511534,0.0,-80.07630920410156,10.963720321655273,16.337602615356445,0.019155025482177734
14,10.855918884277344,7.316841721599824,10.855918884277344,30.683834075927734,9.607011795043945,121.31507110595703,0.029969215393066406
15,5.406788349151611,7.221339052977412,5.406788349151611,-19.11353874206543,9.298592567443848,45.14535140991211,0.05880093574523926
16,9.303683280944824,7.325456264375783,9.303683280944824,21.171995162963867,10.757622718811035,23.962596893310547,0.02988266944885254
17,9.387178421020508,7.428542372208018,9.387178421020508,26.68393325805664,9.390817642211914,94.86219787597656,0.04652595520019531
18,8.97208023071289,7.505719265133262,8.97208023071289,14.713949203491211,10.404472351074219,18.664316177368164,0.031222820281982422
19,0.0,7.130433301876598,0.0,-78.81370544433594,10.9628324508667,19.22476577758789,0.01365518569946289
20,11.082914352416992,7.328057354403618,11.082914352416992,40.820404052734375,9.001795768737793,120.04778289794922,0.1297929286956787
21,8.244903564453125,7.3738996649060935,8.244903564453125,9.583353042602539,10.677994728088379,10.951042175292969,0.04397892951965332
22,11.627317428588867,7.586570553090231,11.627317428588867,38.33039855957031,10.133468627929688,53.830535888671875,0.026301860809326172
23,8.006674766540527,7.607575763762745,8.006674766540527,3.1789822578430176,9.271501541137695,13.033452987670898,0.026778221130371094
24,0.0,7.227196975574608,0.0,-81.5534439086914,10.962600708007812,24.609285354614258,0.012314081192016602
25,14.51782512664795,7.591728383128275,14.51782512664795,73.5180892944336,9.634160995483398,184.69068908691406,0.02590799331665039
26,10.129549026489258,7.718619415296323,10.129549026489258,18.465595245361328,9.22392463684082,45.654083251953125,0.0532526969909668
27,9.490074157714844,7.807192152417249,9.490074157714844,15.114262580871582,10.099534034729004,33.69550323486328,0.10023093223571777
28,11.050152778625488,7.9693401837276605,11.050152778625488,30.63665771484375,10.489452362060547,42.76902770996094,0.025606870651245117
29,15.280904769897461,8.33491841303615,15.280904769897461,69.22969055175781,10.379399299621582,89.81283569335938,0.0280911922454834
30,13.287856101989746,8.582565297483828,13.287856101989746,54.210811614990234,10.617652893066406,87.48698425292969,0.023283958435058594
