episode,G_train,G_val,total_rate_ep,loss_actor,loss_critic,loss_total,entropy,advantage_mean,advantage_std,grad_norm,duration_sec
1,9.721489906311035,3.924450635910034,15.280904769897461,0.007353859022259712,70.08001708984375,34.912010192871094,13.535135269165039,-7.092953069331998e-08,1.0,6.079806327819824,5.157963991165161
2,52.961238861083984,,103.3147144317627,0.012173719704151154,3102.2451171875,1550.9993896484375,13.535277366638184,9.775161657898934e-08,1.0,55.191707611083984,7.2766711711883545
3,55.61574172973633,,87.70153427124023,-0.0031353950034826994,1322.7978515625,661.2604370117188,13.535390853881836,-1.4901161193847656e-08,0.9999999403953552,35.17222213745117,9.593407154083252
4,18.075653076171875,,32.58189678192139,0.005964021664112806,333.45843505859375,166.59982299804688,13.535473823547363,2.324581060975106e-08,1.0,15.787797927856445,11.680408954620361
5,29.85778045654297,,46.18334722518921,-0.010240783914923668,514.549560546875,257.1291809082031,13.535558700561523,4.17232506322307e-08,0.9999999403953552,17.880861282348633,14.269850969314575
6,8.290904998779297,,20.598304748535156,-0.012069988064467907,172.38999938964844,86.04757690429688,13.535591125488281,-2.3841858265427618e-08,0.9999999403953552,13.311461448669434,16.41248083114624
7,14.62610912322998,,24.915149688720703,0.010339517146348953,205.0809326171875,102.41545104980469,13.535562515258789,1.2278556482669956e-07,0.9999999403953552,11.200154304504395,19.159401178359985
8,7.215516090393066,,12.291420936584473,0.006065817084163427,49.52385711669922,24.632638931274414,13.535575866699219,3.33786012163273e-08,0.9999999403953552,5.485234260559082,21.253058910369873
9,4.907835006713867,,12.623555183410645,-0.00798641238361597,67.05233764648438,33.3828239440918,13.535627365112305,4.17232506322307e-08,1.0,8.303460121154785,23.74473786354065
10,19.053485870361328,25.052047729492188,41.21040964126587,0.0031499480828642845,562.9188232421875,281.32720947265625,13.53564453125,-1.6570091077028337e-07,1.0,24.04595375061035,27.87987494468689
11,50.14607238769531,,78.73792362213135,0.020326079800724983,1192.983642578125,596.3767700195312,13.535665512084961,2.9802322387695312e-08,1.0,31.339839935302734,30.476236820220947
12,78.61962890625,,150.15558052062988,0.01022478099912405,6668.67236328125,3334.211181640625,13.535704612731934,3.039836826701503e-08,0.9999999403953552,78.0519790649414,32.517980098724365
13,17.237289428710938,,35.87892246246338,0.006907291244715452,442.66796875,221.20553588867188,13.535747528076172,2.6226043559063328e-08,0.9999999403953552,20.249101638793945,34.61668801307678
14,69.7364730834961,,117.94575452804565,0.007313117850571871,3043.976806640625,1521.8603515625,13.53579330444336,7.450580596923828e-08,0.9999999403953552,52.416778564453125,36.79251289367676
15,11.643292427062988,,13.952187538146973,-0.005507354624569416,30.650781631469727,15.184524536132812,13.535835266113281,-7.1525572131747595e-09,0.9999999403953552,2.554940938949585,38.83926582336426
16,6.111217498779297,,11.627203941345215,0.00010333061072742566,48.59146499633789,24.160476684570312,13.535832405090332,6.437301891537572e-08,1.0000001192092896,5.906482219696045,40.83568501472473
17,8.559907913208008,,12.291420936584473,-0.0004011440323665738,39.17219543457031,19.45033836364746,13.535840034484863,-5.9604645663569045e-09,0.9999998807907104,4.016663074493408,43.13909888267517
